epoch,loss,val_loss
0,0.00037161025153165556,0.021662379233250477
1,0.00016271646334307477,0.0039866996272509029
2,0.00011368792165863343,0.011232365306617843
3,0.00010541042005320019,0.0050694339023483496
4,7.9153979224211733e-05,0.013494029894957805
5,8.153699083498398e-05,0.0069079142995178699
6,7.6748918480861047e-05,0.00038454971696524925
7,8.1095225972804849e-05,0.0033659815572218985
8,7.0198482592152215e-05,0.003183668985100765
9,7.624766613242719e-05,0.0030583271246533506
10,6.2871653397812488e-05,0.001434682973299746
11,6.1322519111969454e-05,0.0001987673324267464
12,6.3231054128268021e-05,0.0038949699615136728
13,6.0777200402549526e-05,0.00092687753701964305
14,6.2315734763742473e-05,0.0067576524835113467
15,6.5710116989978136e-05,0.012902973815463148
16,4.9467939532253659e-05,0.0066725066794829256
17,5.2088698322052222e-05,0.0060875762027461783
18,4.9202722962765033e-05,0.0083391371443720854
19,4.866409239816912e-05,0.0084714071902756895
20,4.5208132081738943e-05,0.0053551076155739022
21,5.5292780972866372e-05,0.0070083425437972822
22,6.3051980228328726e-05,0.0045271269768777491
23,6.183051646609699e-05,0.0088121358982732028
24,4.38251941890953e-05,0.0096178155372481419
25,4.6374732214408511e-05,0.010140957384210851
26,3.8898269141299314e-05,0.011467681160964374
27,3.8321078339755603e-05,0.0082990644944213997
28,4.549820386649201e-05,0.0075829203581691271
29,5.8444662150807585e-05,0.011231456031899076
30,5.1780439098694093e-05,0.0095404932854344718
31,4.3062489641000965e-05,0.011561883245867485
32,4.1792997572035999e-05,0.01210809975803771
33,4.3030046870720832e-05,0.00887802505834164
34,5.1323716111799691e-05,0.0090110446518493672
35,3.9188790280079155e-05,0.0079842089983906805
36,5.6055535927086934e-05,0.0085093013349415002
37,3.9510217116403672e-05,0.010000167082080635
38,5.14913665837767e-05,0.0087318802842354347
39,4.632925717957669e-05,0.0061862779258008887
40,3.817402295545449e-05,0.010129850863810495
41,6.1321990426600086e-05,0.015312907158036355
42,4.6509655283271409e-05,0.0094780209075726631
43,4.3831089310997841e-05,0.010944026852181802
44,4.6658477590970684e-05,0.0091440189309388836
45,5.0806240993453364e-05,0.016685067739983735
46,4.208854583088946e-05,0.010186266345454397
47,4.4732747905992513e-05,0.010202146596998933
48,4.2992982754610483e-05,0.012433632259647286
49,4.2917295607410236e-05,0.014080317591858172
50,5.0175619076040804e-05,0.0081721660465903755
51,3.8390759417991379e-05,0.010776007482949813
52,4.7421869491225654e-05,0.012561001211849486
53,4.2183034239390985e-05,0.016809701349015709
54,4.6435433665653977e-05,0.0098835664143448118
55,6.8005162601680584e-05,0.012526681810839789
56,3.9993755856547797e-05,0.014380573421435614
57,4.7026321951161416e-05,0.023236178623109654
58,4.6810611545440163e-05,0.017218277401601274
59,4.0396603286460397e-05,0.015072597435105022
60,4.5403306259283964e-05,0.015080128011381807
61,4.6818691579518646e-05,0.016463331583476213
62,3.6494976568565827e-05,0.012858108473419389
63,3.5688277671756656e-05,0.011693608214520756
64,4.2038144720229479e-05,0.011406133885061167
65,4.5324484092058847e-05,0.016189958241050812
66,3.5462339537207507e-05,0.014596691694916101
67,4.4740287719721985e-05,0.010162319773090931
68,4.1770923482758703e-05,0.014622242091620039
69,4.8668364773140603e-05,0.015374830453069293
70,4.1911486268216007e-05,0.013264794713872074
71,4.3394591372670883e-05,0.01227190086226344
72,4.7071518163249562e-05,0.012204546727311404
73,4.194463118944952e-05,0.011658522789681179
74,3.7520860407751631e-05,0.011338545061015474
75,5.0585623568178942e-05,0.012263509807510403
76,3.6431016320815078e-05,0.011743339459015359
77,3.7501952550797062e-05,0.014507143831652429
78,4.6199311124404359e-05,0.0087633150301166807
79,3.6820830209187939e-05,0.0062092439949812438
80,5.3798230212747718e-05,0.010907088786569165
81,4.0959392960016976e-05,0.011245733636052784
82,3.7188918765626544e-05,0.015739222025700116
83,3.9841227296347739e-05,0.0086058424883319554
84,5.1672171944006412e-05,0.011904357148015552
85,3.6863276008699189e-05,0.014081023309404988
86,4.9594738236870242e-05,0.012294891758256609
87,4.2916567689322255e-05,0.01480888730588344
88,3.5311750232200787e-05,0.011040414715246591
89,4.1053234346186121e-05,0.0079946900322783714
90,3.9635579749416513e-05,0.010457110891710161
91,4.5259938768214181e-05,0.0094366598048935407
92,4.5595108313793704e-05,0.010824947432837205
93,4.2677206615027189e-05,0.0055031300570434569
94,3.7032334095155655e-05,0.0076043492978593958
95,4.0322576987449502e-05,0.011402993997861002
96,4.7870804091071146e-05,0.011741038898492718
97,4.8937330460457056e-05,0.0075035955324802579
98,4.0092221072720048e-05,0.006371353122868878
99,4.5682654103727902e-05,0.0069283695277566016
